1,Recliner chair
2,Thermal bottle
3,Office chair
4,Living room chair
5,Pan
6,Rocking chair
7,Television
8,Dining table
9,Swiss knife
10,Double bed
11,Water purifier
12,Table lamp
13,Upholstered chest
14,Mirror
15,Wood chair
16,Rice cooker
17,Puff chair
18,Divan
19,Center table
20,Glass cup
21,Couch
22,Upholstered chair
23,Leather chair
24,Wooden wardrobe
25,Wooden shelf
26,Plastic chair
27,Ceramic bowl
28,Wooden wardrobe
29,Upholstered chair
30,LED
31,Wooden nightstand
32,Metal shelf
33,Refrigerator
34,Cabinet
35,Double bed
36,Heater
37,Wall lamp
38,Duvet
39,Frying pan
40,Towel holder
41,Portable stove
42,Desk
43,Baby chair
44,Water tap
45,Couch
46,Cutting board
47,Animal decoration
48,LED lamp
49,Ceramic tea cup
50,Plastic cup
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
